@relation '3. ConscientiousnessFinder_LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9-13,15-32,34,39,41-43,45-46,49-50,52-57,59,61-84,86-88,90-93,99-100'

@attribute Clout numeric
@attribute Authentic numeric
@attribute Dic numeric
@attribute you numeric
@attribute anx numeric
@attribute sad numeric
@attribute social numeric
@attribute family numeric
@attribute friend numeric
@attribute male numeric
@attribute discrep numeric
@attribute differ numeric
@attribute percept numeric
@attribute feel numeric
@attribute affiliation numeric
@attribute power numeric
@attribute Colon numeric
@attribute Dash numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute cCON {n,y}

@data
59.18,39.35,76.36,1.16,0,0.39,8.53,0,0.39,0.78,2.71,1.94,3.1,0.78,5.43,1.16,2.71,0.78,145,9755.34,94.75,0.04,10042,y
50.79,53.89,77.52,1.09,0.1,0.4,6.93,0.2,0.1,0.79,1.98,2.18,3.17,0.79,2.08,1.68,0.3,0.59,739,267574,98.39,0.01,270029,n
50,73.07,86.02,0.56,0.11,0.23,7.1,0.23,0.45,1.13,1.92,2.82,2.71,1.24,2.25,1.8,0.56,2.03,145,10258,99.63,0.02,10272,n
48.05,66.85,84.84,0.97,0.12,0.37,7.24,0.79,0.37,0.67,1.1,3.41,2.19,0.43,1.58,2.92,0.49,1.16,633,196606,98.6,0.01,198186,y
52.29,53.57,84.54,2.06,0.57,0.69,8.93,0.11,0.46,0.34,2.18,3.44,4.12,1.03,2.06,1.72,0.34,0.69,332,51211.9,93.77,0.03,53309,n
53.07,39.45,80.92,1.67,0.18,0.41,7.62,0.27,0.54,1.08,1.13,2.71,3.61,0.9,1.71,1.49,0.54,1.04,50,1146.83,97.52,0.06,1150,n
65.12,58.76,86.89,0.49,0,0.49,10.68,0.97,0.97,2.43,0.97,1.94,2.91,0.97,2.91,0.49,0,3.88,628,193156,98.42,0.01,194779,n
45.5,54.08,75.65,0.32,0.32,0.16,5.81,0.16,0.32,0.16,1.29,1.61,2.58,0.65,1.61,1.77,0.48,1.13,89,3755.17,98.1,0.03,3804,n
24,51.18,72.94,4.71,0,2.35,2.35,0,0,0,0,3.53,5.88,1.18,3.53,0,0,1.18,1225,743530,99.34,0,746216,y
64.95,44.33,79.86,0.72,0,0,3.84,0.96,0,0.48,1.2,0.24,1.2,0,1.92,2.88,0.48,0.48,731,264627,99.45,0.01,265324,n
74.64,23.74,78.52,1.59,0.14,0.35,9.19,0.35,0.62,0.55,1.04,1.52,3.18,0.48,2.49,1.66,0.83,0.97,899,396675,98.49,0.01,400536,y
64.06,25.96,68.74,2.81,0.33,0.65,7.59,0.2,0,0.78,1.37,2.94,1.96,0.59,1.18,1.7,0.33,3.27,376,68180.7,97.23,0.02,69300,y
47.61,71.65,82.93,1.13,0.27,0.8,5.84,0.27,0.2,0.73,1.59,1.53,1.2,0.27,0.86,2.72,0,0.8,102,4359.8,86.33,0.09,4668,y
33.41,52.86,84.29,0,0,0,2.86,0,0,0,0,1.43,1.43,0,1.43,2.86,0,0,322,50065.9,97.48,0.02,50696,y
40.39,28.09,78.35,1.22,0,0.49,5.6,0.24,0.24,0.24,1.95,3.89,1.95,0.49,1.7,2.19,0.24,0,385,62433.4,84.9,0.02,72697,n
94.64,75.24,89.96,5.73,0,1.08,15.41,0,0.36,0.36,0.36,2.15,2.87,0.36,1.43,1.43,0,0,644,203058,98.38,0.01,204908,n
58.13,48.13,88.87,0.86,0,0.51,7.53,0,0.17,3.08,2.57,2.23,1.54,0.51,1.37,2.23,1.2,0.34,457,100045,96.44,0.02,102101,y
82.26,49.62,91.14,5.28,0.31,0.35,13.22,0.61,0.65,1.75,0.92,2.18,2.79,0.96,3.27,4.54,0.35,0.96,254,30611.8,96.03,0.02,31359,y
44.42,70.36,86.17,1.57,0.17,0.59,7.98,0.48,0.53,1.24,1.63,2.81,2.92,0.82,2.02,2.05,0.11,0.11,307,42793.6,91.7,0.04,45225,y
48.89,37.65,80.06,0.42,0.42,0.55,5.82,0.42,0.42,0.55,0.97,2.63,4.71,0.97,2.08,1.66,1.11,2.35,294,40662.7,95.06,0.03,41888,n
64.4,53.57,81.56,1.23,0.37,0.41,6.63,0.22,0.04,0.75,1.08,2.12,2.53,0.89,2.24,2.31,0.6,1.01,289,39253.6,94.98,0.03,40499,y
51.34,67.87,88.78,1.84,0.34,0.75,8.29,0.17,0.59,1.01,1.93,2.01,3.69,0.75,2.01,1.59,0,0.08,369,65119.5,96.43,0.02,66518,n
50,98.66,80.89,1.27,0,0,7.01,0,0,0,1.27,1.91,1.91,0.64,1.27,0.64,1.91,0,1264,780799,97.97,0.01,792237,y
53.6,70.39,81.87,0.11,0.11,0,3.15,0.56,0,0.23,0.68,1.01,4.28,0.79,1.35,1.01,0.23,1.69,57,1509.5,98.02,0.05,1522,n
80.57,76.02,92.01,2.56,0,0,11.5,0.32,1.28,0.64,0.64,2.24,3.19,1.92,3.83,2.88,0.32,0,290,40289.5,96.81,0.02,41037,n
57.77,55.73,81.5,0.55,0.16,0.24,5.41,0,0.24,1.57,1.02,1.96,2.82,0.47,1.49,2.82,0.24,0.94,198,17832.2,92.37,0.05,18495,y
67.43,48.49,83.94,1.18,0.39,0.52,8.19,0.33,0.26,1.11,1.25,2.75,1.7,0.33,2.03,2.82,0.52,1.64,171,12680.2,88.27,0.06,13671,y
74.3,52.51,83.7,3.26,0.36,0,10.14,0,0,1.09,2.17,3.26,3.26,0.72,1.45,1.09,0.36,1.81,326,50112.9,95.18,0.02,51706,n
47.38,62.67,82.2,1.64,0.27,0.76,7.65,0.22,0.71,0.93,1.53,2.79,2.18,0.55,2.02,1.75,0.16,10.65,241,27321.2,95.26,0.03,28150,y
72.17,1,47.06,0,0,0,5.88,0,0,0,0,0,11.76,5.88,0,0,0,0,177,14043.1,91.19,0.06,14643,n
50,80.38,82.21,0.91,0.54,0.73,7.08,0,0.54,2.18,1.81,3.81,1.81,0.36,1.63,2.18,0.36,3.45,464,103794,97.05,0.02,105666,n
38.01,60.37,85.04,1.25,0.28,0.83,6.51,0.14,0.42,0.42,2.08,4.16,1.66,0.28,1.25,2.77,0.69,1.52,265,33752.4,97.22,0.02,34425,n
61.59,9.82,58.33,1.63,0.15,1.39,6.66,0.7,0.23,0.31,1.01,1.63,2.09,0.7,0.77,1.39,3.1,0.23,102,4216.48,83.49,0.09,4694,y
70.08,38.82,81.58,0,0,0,8.77,0.88,0.44,1.75,3.07,2.63,0,0,4.39,3.07,0,0,802,313912,97.98,0.01,318280,y
28.55,53.23,78.52,0.59,0,0.59,2.93,0,0.39,0.78,0.39,3.12,2.73,0.78,0.39,2.34,2.73,1.56,122,6529.3,89.94,0.07,6893,n
66.38,13.15,81.29,2.31,0.4,0.6,9.86,0.1,0.1,1.21,1.31,2.52,1.91,0.5,1.91,4.43,0.4,2.11,216,21645,94.09,0.03,22428,y
42.86,52.38,72.46,0.6,0,0,6.79,0,0.8,0.2,0.4,3.79,1.2,0.2,1.8,1.4,3.79,4.59,315,48289.7,98.27,0.02,48683,y
75.98,20.37,90.46,1.3,0.36,1.09,9.96,0.31,0.47,0.1,2.23,2.07,3.68,1.24,2.39,1.66,0.05,0.62,1596,1251780,98.47,0.01,1263790,n
22.82,98.01,82.75,0,0,0.39,2.35,0.78,0,0,0.39,2.75,1.96,0.39,1.96,1.96,0,0,245,28355.6,95.65,0.03,29130,n
56.63,63.41,89.44,3.06,0.56,0,7.22,0,0,0,3.61,2.78,4.72,1.67,2.22,0.28,1.67,1.94,146,9777.14,93.65,0.05,10084,y
26.16,25.35,80.85,0,0,0,4.26,0,0,0,2.13,4.26,2.13,0,0,0,0,0,731,261379,98.23,0.01,264141,y
33.93,77.96,85.87,0.72,0.2,0.46,6.31,0.46,0.26,0.2,0.66,1.91,3.29,0.85,2.37,1.31,0.72,0.99,317,44228.9,88.87,0.03,48360,y
56.21,59.64,85.61,1.05,0.19,0.45,6.96,0.26,0.26,0.35,1.66,1.79,2.07,0.77,1.56,1.44,2.65,1.21,209,20582.2,95.61,0.03,21092,n
50.88,47.54,85.1,0.81,0.59,0.66,5.14,0.44,0.15,0.29,2.2,2.06,2.86,0.44,1.76,1.62,0.37,1.17,58,1054.67,66.08,0.08,1516,n
70.48,58.63,83.67,1.99,0,0,9.56,0.2,0.6,0.6,0.4,2.79,2.19,0.8,3.39,2.59,0.2,0.8,270,35195.6,97.64,0.02,35659,n
67.55,23.36,73.91,0.7,0.18,0.88,8.93,1.4,0.7,1.75,0.88,1.4,1.93,0,2.45,1.93,0,1.05,75,2650.67,98.14,0.04,2660,y
62.68,24.94,79.82,2.12,0.22,0.56,7.13,0.11,0.11,0.56,2.12,2.9,2.45,0.45,1.67,1.56,0.78,1.67,135,8479.96,95.16,0.04,8711,y
78.26,49.14,83.48,1.35,0,0.6,12.01,1.05,1.05,1.35,1.65,1.35,2.85,0.6,3,2.4,0.3,1.65,335,54004.8,97.11,0.02,54838,y
32.6,45.36,80.45,0.75,0,0.75,6.39,1.13,0.38,1.88,1.88,4.51,3.01,0.38,1.5,0.75,1.13,1.88,312,44661,92.65,0.05,46150,n
27.27,83.24,89.2,1.08,0,0.43,6.91,0.65,0.65,0.86,1.73,3.89,2.81,0.22,1.51,1.3,3.02,3.02,306,44142.5,95.22,0.03,45388,y
67.37,35.94,81.53,0.55,0,0.74,7.9,0.64,0.46,1.01,1.29,1.65,2.21,0.55,2.57,1.47,0.09,1.47,1460,1056550,99.34,0,1060480,n
35.92,61.76,87.13,0.7,0.18,0.35,5.23,0.22,0.53,0.44,1.1,2.85,3.73,1.01,1.27,1.05,0.31,0.13,300,43159,96.88,0.02,43968,y
40.75,56.88,83.95,0.21,0.21,0.34,5.79,0.07,0.34,0.07,1.79,2.69,2,0.21,1.65,1.24,2,0.62,775,290973,97.27,0.01,296174,y
38.25,54.27,76.12,0.75,0.75,0,2.24,0,0,0,2.99,2.99,0,0,0.75,1.49,1.49,3.73,381,70739.6,98.24,0.01,71416,y
75.07,35.93,80.19,1.93,0.48,0.48,9.18,0.97,0,2.9,1.45,1.45,2.42,1.45,1.93,3.86,0.48,0.48,573,154659,94.7,0.02,160407,n
62.55,42.95,82.84,0.85,0.32,0.64,5.76,0.11,0.32,0,2.45,1.81,5.12,1.49,1.49,1.71,0.75,1.07,332,51657.2,94.58,0.03,53320,y
19.88,93.3,90.77,0,1.54,1.54,0.77,0,0,0,0,1.54,5.38,0.77,0.77,4.62,0,0,950,438219,97.42,0.01,445454,y
37.96,62.35,82.8,1.17,0,0.58,5.83,0.15,0.73,1.02,1.46,3.5,2.04,0.58,1.02,1.46,0.44,0.29,354,59885.4,96.39,0.02,61142,n
63.57,37.28,85.05,1.44,0.14,0.59,9.95,0.18,0.72,2.39,2.3,2.52,2.48,0.5,2.34,1.53,0.36,0.72,463,103722,97.4,0.02,105113,n
62.93,75.09,90.83,3.79,0.24,1.83,13.57,0.24,0.24,2.08,2.2,3.67,3.42,1.59,2.32,2.32,0,0.73,256,30788.5,95.07,0.03,31646,n
48.8,86.24,78.44,0,0,0.3,4.19,0.6,0,0.9,0.6,1.5,2.1,0,0.9,1.8,4.19,5.99,1350,895790,98.52,0.01,904309,y
37.13,82.07,84.34,1.64,0,0.44,6.46,1.2,0.11,0,2.19,2.52,2.63,0.77,0.99,1.1,0.11,0.22,196,15523.1,82.07,0.06,17982,y
37.76,92.07,85.84,0.28,0.57,0.28,4.82,0,0.57,0,3.12,2.83,1.13,0.28,2.27,2.27,0.57,1.13,258,29260.8,88.95,0.07,30879,y
78.25,7.46,76.77,1.45,0,0.18,8.89,1.09,0.91,0.54,1.27,0.91,2.72,0.54,3.81,2.36,0.73,1.45,606,177453,97.12,0.01,180788,y
38.58,65.74,82.37,0.24,0.24,0.72,6.04,0.48,0.24,0.48,0.97,2.17,1.93,0.24,1.69,1.45,0,0.24,134,8649.25,98.53,0.02,8697,y
76.82,21.01,79.89,2.07,0.56,0.19,9.02,0.19,0.75,0,1.88,1.5,1.69,0.56,3.38,0.94,0.38,0.94,77,2830.5,99.32,0.03,2837,y
48.22,63.76,76.89,0.44,0,0,4.89,0.44,0.89,0,2.22,0.89,0.89,0.44,2.22,1.78,1.78,0.44,959,441049,96.21,0.01,453251,y
58.78,28.71,86.07,0.89,0.3,0.15,9.04,0.44,0.3,0.59,2.07,2.52,2.07,0.59,2.96,1.93,1.19,0.15,475,108866,97.11,0.02,110588,n
42.89,61.73,84.93,0.47,0.66,1.13,6.5,0.28,0.28,1.04,1.79,1.88,3.48,0.75,1.88,2.26,1.22,1.13,699,236036,97.03,0.01,240885,n
57.47,83.66,76.88,0.81,0,0.27,5.65,0.54,0,0.27,0.81,0.27,1.88,0.81,2.15,1.34,0.27,2.69,900,397632,98.51,0.01,400980,y
55.07,74.25,94,2.81,0.13,0.38,9.83,0.51,0,0.64,1.53,3.83,1.53,0.64,3.45,3.32,0.89,0.64,721,248889,96.16,0.02,255465,y
82.52,63.19,85.61,2.88,0,0,9.35,0,1.44,0.72,1.44,0.72,1.44,0.72,0.72,2.88,0.72,0,239,24116.1,85.51,0.05,26937,n
56.65,67.63,87.58,1.35,0.26,0.39,9.59,1.93,0.45,1.42,1.87,2.19,1.74,0.51,1.99,2.51,0.26,0.77,29,334.42,88.47,0.14,348,n
72.45,47.38,82.75,2.06,0,0.43,11.06,0.76,0.54,1.3,1.52,3.04,1.41,0.22,3.36,2.49,0.43,2.17,160,12180.8,96.97,0.03,12382,n
67.16,38.57,80,3.7,0,0.74,9.63,0.74,0,0,2.22,2.22,0.74,0,2.22,4.44,0.74,0,289,38381.5,92.87,0.03,40329,n
72.77,73.95,71.52,0,0.61,0,8.48,0.61,0,0,0,0.61,1.82,0,3.03,2.42,0.61,0.61,222,21894.7,90.06,0.04,23462,y
39.43,30.01,78.57,0,0,0.89,8.04,0,0,1.79,1.79,6.25,4.46,0,1.79,1.79,0.89,1.79,332,51669.8,94.61,0.03,53479,y
64.05,50.52,80.23,1.63,0,0.16,8.17,0,0.16,0.16,0.65,2.12,3.59,0.98,2.45,1.14,3.43,1.8,254,29724.9,93.25,0.04,30978,y
