@relation 'LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-25,37-38,40-43,45-93'

@attribute compare numeric
@attribute interrog numeric
@attribute number numeric
@attribute quant numeric
@attribute affect numeric
@attribute posemo numeric
@attribute negemo numeric
@attribute anx numeric
@attribute anger numeric
@attribute sad numeric
@attribute social numeric
@attribute female numeric
@attribute discrep numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cEXT {n,y}

@data
1.25,0.55,2.91,1.25,10.11,7.76,2.35,0.42,0.14,0.55,5.82,0.14,0.97,294,40662.7,95.06,0.03,41888,0.49,0.14,y
1.75,1.12,1.49,1.9,7.45,4.73,2.72,0.37,0.75,0.41,6.63,0.04,1.08,289,39253.6,94.98,0.03,40499,0.49,0.13,y
0.92,1.17,1.59,1.42,8.79,4.02,4.77,0.34,1.26,0.75,8.29,0.34,1.93,369,65119.5,96.43,0.02,66518,0.49,0.09,y
1.27,3.18,4.46,1.27,4.46,3.18,1.27,0,0.64,0,7.01,0,1.27,1264,780799,97.97,0.01,792237,0.5,0.06,y
1.91,0.23,1.13,1.35,5.74,5.29,0.45,0.11,0.11,0,3.15,0.56,0.68,57,1509.5,98.02,0.05,1522,0.49,0.03,y
2.24,0,2.56,0.64,8.63,6.39,2.24,0,0.64,0,11.5,1.28,0.64,290,40289.5,96.81,0.02,41037,0.49,0.08,y
1.49,0.94,1.8,1.33,5.49,3.45,2.04,0.16,0.86,0.24,5.41,0,1.02,198,17832.2,92.37,0.05,18495,0.48,0.29,n
2.75,1.51,2.42,1.31,6.95,4.85,2.03,0.39,0.52,0.52,8.19,0.46,1.25,171,12680.2,88.27,0.06,13671,0.48,0.28,n
2.9,1.81,2.9,1.45,6.88,5.07,1.81,0.36,1.45,0,10.14,0.36,2.17,326,50112.9,95.18,0.02,51706,0.49,0.11,y
1.53,1.37,2.68,1.64,5.73,2.68,2.95,0.27,1.15,0.76,7.65,0.33,1.53,241,27321.2,95.26,0.03,28150,0.49,0.11,n
0,0,11.76,0,5.88,5.88,0,0,0,0,5.88,0,0,177,14043.1,91.19,0.06,14643,0.48,0.36,n
2.36,0.54,2.54,2.18,5.26,2.18,3.09,0.54,1.27,0.73,7.08,0,1.81,464,103794,97.05,0.02,105666,0.49,0.08,y
2.08,0.69,1.94,1.52,8.03,5.12,2.91,0.28,1.11,0.83,6.51,1.25,2.08,265,33752.4,97.22,0.02,34425,0.5,0.03,n
1.7,0.31,1.47,1.39,7.67,4.49,3.1,0.15,0.62,1.39,6.66,1.39,1.01,102,4216.48,83.49,0.09,4694,0.46,0.32,n
1.32,0.44,0.44,1.32,6.14,5.7,0.44,0,0,0,8.77,0.88,3.07,802,313912,97.98,0.01,318280,0.5,0.04,n
2.34,1.17,1.37,2.54,8.4,4.69,3.52,0,2.34,0.59,2.93,0,0.39,122,6529.3,89.94,0.07,6893,0.47,0.26,n
2.31,2.21,0.7,1.81,7.04,3.32,3.62,0.4,1.91,0.6,9.86,0.1,1.31,216,21645,94.09,0.03,22428,0.49,0.15,y
2,0.4,1.4,2.79,11.98,10.38,1.4,0,0.6,0,6.79,0.2,0.4,315,48289.7,98.27,0.02,48683,0.5,0.06,y
2.59,1.24,1.24,2.07,10.89,8.56,2.33,0.36,0.16,1.09,9.96,3.63,2.23,1596,1251780,98.47,0.01,1263790,0.5,0.07,n
1.96,1.18,5.49,0.78,10.98,10.2,0.78,0,0,0.39,2.35,0,0.39,245,28355.6,95.65,0.03,29130,0.49,0.08,n
1.39,0.83,0.28,3.61,11.11,9.44,1.67,0.56,0.83,0,7.22,0.28,3.61,146,9777.14,93.65,0.05,10084,0.48,0.19,n
0,4.26,0,2.13,4.26,0,2.13,0,2.13,0,4.26,0,2.13,731,261379,98.23,0.01,264141,0.5,0.06,n
1.64,0.59,1.64,1.91,9.59,7.23,2.17,0.2,0.72,0.46,6.31,1.31,0.66,317,44228.9,88.87,0.03,48360,0.49,0.17,y
1.37,1.02,2.39,1.85,5.52,3.61,1.82,0.19,0.57,0.45,6.96,1.31,1.66,209,20582.2,95.61,0.03,21092,0.49,0.11,n
1.69,0.66,2.94,1.91,7.56,5.29,2.28,0.59,0.22,0.66,5.14,0.73,2.2,58,1054.67,66.08,0.08,1516,0.47,0.12,y
1.2,1.2,2.59,1.59,6.77,5.18,1.39,0,0.2,0,9.56,0.8,0.4,270,35195.6,97.64,0.02,35659,0.49,0.06,n
2.28,1.05,1.4,2.98,5.95,3.33,2.63,0.18,1.23,0.88,8.93,1.23,0.88,75,2650.67,98.14,0.04,2660,0.49,0.05,n
1.34,0.89,4.79,2.23,4.91,3.12,1.78,0.22,0.67,0.56,7.13,0.11,2.12,135,8479.96,95.16,0.04,8711,0.49,0.12,n
1.35,0.75,2.4,1.8,5.56,4.05,1.5,0,0.6,0.6,12.01,2.1,1.65,335,54004.8,97.11,0.02,54838,0.49,0.09,n
1.13,1.5,1.5,1.13,10.9,6.39,4.14,0,3.01,0.75,6.39,0,1.88,312,44661,92.65,0.05,46150,0.48,0.38,n
1.73,1.08,1.3,1.51,7.56,6.48,1.08,0,0.43,0.43,6.91,0,1.73,306,44142.5,95.22,0.03,45388,0.49,0.16,n
1.01,0.83,1.84,1.47,6.8,5.33,1.47,0,0.18,0.74,7.9,2.48,1.29,1460,1056550,99.34,0,1060480,0.5,0.03,n
1.58,1.05,2.06,2.46,8.7,6.1,2.5,0.18,0.88,0.35,5.23,0.57,1.1,300,43159,96.88,0.02,43968,0.49,0.07,n
2.41,0.76,2.41,1.58,9.02,6.75,2.27,0.21,0.48,0.34,5.79,2.13,1.79,775,290973,97.27,0.01,296174,0.5,0.08,y
2.24,0,2.99,1.49,11.19,6.72,3.73,0.75,0.75,0,2.24,0,2.99,381,70739.6,98.24,0.01,71416,0.5,0.04,n
0.97,0.97,0.97,3.86,4.35,3.38,0.97,0.48,0,0.48,9.18,0,1.45,573,154659,94.7,0.02,160407,0.49,0.18,n
2.45,1.07,2.35,2.13,7.78,4.8,2.99,0.32,0.32,0.64,5.76,2.56,2.45,332,51657.2,94.58,0.03,53320,0.49,0.2,y
3.08,0.77,2.31,0.77,11.54,4.62,6.92,1.54,0.77,1.54,0.77,0,0,950,438219,97.42,0.01,445454,0.5,0.09,y
2.92,1.6,2.48,3.06,5.69,3.5,2.19,0,1.17,0.58,5.83,0.15,1.46,354,59885.4,96.39,0.02,61142,0.49,0.1,n
2.97,1.4,1.44,2.03,7.61,5.32,2.25,0.14,1.13,0.59,9.95,0.45,2.3,463,103722,97.4,0.02,105113,0.49,0.13,n
1.59,1.83,1.22,1.1,8.68,4.28,4.4,0.24,0.86,1.83,13.57,0.73,2.2,256,30788.5,95.07,0.03,31646,0.49,0.16,n
2.4,1.2,4.79,1.8,2.4,2.1,0.3,0,0,0.3,4.19,1.5,0.6,1350,895790,98.52,0.01,904309,0.5,0.05,y
1.86,0.88,1.64,1.64,8.54,5.7,2.85,0,0.55,0.44,6.46,1.31,2.19,196,15523.1,82.07,0.06,17982,0.48,0.25,n
2.55,1.13,0.57,2.27,10.76,5.1,5.38,0.57,1.13,0.28,4.82,0.28,3.12,258,29260.8,88.95,0.07,30879,0.47,0.46,n
1.81,0.91,3.45,2,11.25,9.44,1.81,0,0.91,0.18,8.89,0.54,1.27,606,177453,97.12,0.01,180788,0.49,0.07,y
0.97,0.97,0.72,2.66,6.28,4.59,1.45,0.24,0.48,0.72,6.04,2.42,0.97,134,8649.25,98.53,0.02,8697,0.5,0.03,n
1.32,0.94,1.69,2.63,6.95,5.08,1.88,0.56,0.56,0.19,9.02,1.69,1.88,77,2830.5,99.32,0.03,2837,0.5,0.01,n
2.67,1.33,7.56,2.22,8,6.67,1.33,0,0,0,4.89,0.44,2.22,959,441049,96.21,0.01,453251,0.49,0.1,y
1.63,1.04,1.04,1.78,6.52,3.41,3.11,0.3,1.93,0.15,9.04,2.67,2.07,475,108866,97.11,0.02,110588,0.49,0.13,y
1.69,1.41,1.32,2.54,10.45,6.87,3.48,0.66,0.56,1.13,6.5,0.85,1.79,699,236036,97.03,0.01,240885,0.5,0.09,y
0.54,0.81,0.54,0.81,8.87,8.6,0.27,0,0,0.27,5.65,0.27,0.81,900,397632,98.51,0.01,400980,0.5,0.06,y
1.66,1.53,1.15,2.43,7.79,6.64,1.15,0.13,0.13,0.38,9.83,0.77,1.53,721,248889,96.16,0.02,255465,0.49,0.12,n
2.16,0,4.32,2.88,7.19,4.32,2.88,0,1.44,0,9.35,0,1.44,239,24116.1,85.51,0.05,26937,0.48,0.27,n
2.19,1.16,3.22,2.96,7.08,4.12,2.96,0.26,0.9,0.39,9.59,2.38,1.87,29,334.42,88.47,0.14,348,0.46,0.26,y
1.74,1.74,3.69,2.17,5.42,4.01,1.3,0,0.22,0.43,11.06,0.22,1.52,160,12180.8,96.97,0.03,12382,0.49,0.06,n
0.74,0,0.74,2.22,6.67,5.19,1.48,0,0,0.74,9.63,0.74,2.22,289,38381.5,92.87,0.03,40329,0.49,0.15,y
1.82,1.21,1.82,1.21,3.03,1.21,1.82,0.61,1.21,0,8.48,0,0,222,21894.7,90.06,0.04,23462,0.48,0.21,n
3.57,0.89,2.68,3.57,9.82,6.25,3.57,0,1.79,0.89,8.04,0.89,1.79,332,51669.8,94.61,0.03,53479,0.49,0.18,n
2.94,1.63,3.59,2.12,4.74,3.27,1.47,0,0.65,0.16,8.17,0.49,0.65,254,29724.9,93.25,0.04,30978,0.49,0.18,y
