@relation 'LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-3,5-10,13-15,17-26,28-52,54-56,58-60,62-80,82-88,90-93'

@attribute Authentic numeric
@attribute ppron numeric
@attribute i numeric
@attribute they numeric
@attribute interrog numeric
@attribute body numeric
@attribute drives numeric
@attribute reward numeric
@attribute filler numeric
@attribute Dash numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cEXT {n,y}

@data
61.76,6.54,4.66,0.31,1.05,0.26,6.37,2.37,0,0.13,300,43159,96.88,0.02,43968,0.49,0.07,n
56.88,5.65,3.44,0.07,0.76,0.96,5.44,2.07,0.48,0.62,775,290973,97.27,0.01,296174,0.5,0.08,y
54.27,4.48,2.99,0,0,0,3.73,1.49,0,3.73,381,70739.6,98.24,0.01,71416,0.5,0.04,n
35.93,3.86,1.45,0,0.97,0.48,10.14,3.86,0,0.48,573,154659,94.7,0.02,160407,0.49,0.18,n
42.95,3.41,0.11,0,1.07,0.96,7.36,1.07,0,1.07,332,51657.2,94.58,0.03,53320,0.49,0.2,y
93.3,6.92,6.92,0,0.77,0.77,9.23,3.85,0,0,950,438219,97.42,0.01,445454,0.5,0.09,y
62.35,6.12,4.23,0,1.6,0.44,6.41,2.19,0,0.29,354,59885.4,96.39,0.02,61142,0.49,0.1,n
37.28,7.84,3.29,0.59,1.4,0.81,6.49,1.89,0,0.72,463,103722,97.4,0.02,105113,0.49,0.13,n
75.09,15.16,8.56,0.73,1.83,0.98,7.46,0.73,0,0.73,256,30788.5,95.07,0.03,31646,0.49,0.16,n
86.24,3.59,1.8,0,1.2,0.3,4.49,1.2,0,5.99,1350,895790,98.52,0.01,904309,0.5,0.05,y
82.07,8.87,6.57,0.33,0.88,0.44,6.46,2.96,0,0.22,196,15523.1,82.07,0.06,17982,0.48,0.25,n
92.07,5.38,4.25,0,1.13,0.57,9.35,2.83,0,1.13,258,29260.8,88.95,0.07,30879,0.47,0.46,n
7.46,5.44,1.81,0.54,0.91,0,8.71,2.9,0,1.45,606,177453,97.12,0.01,180788,0.49,0.07,y
65.74,8.7,6.04,0.24,0.97,0.24,7.97,2.42,0,0.24,134,8649.25,98.53,0.02,8697,0.5,0.03,n
21.01,6.39,1.88,0.19,0.94,1.13,7.89,1.88,0,0.94,77,2830.5,99.32,0.03,2837,0.5,0.01,n
63.76,4,3.11,0,1.33,0.89,5.33,1.33,0,0.44,959,441049,96.21,0.01,453251,0.49,0.1,y
28.71,8.59,3.85,0,1.04,1.48,8,1.48,0.44,0.15,475,108866,97.11,0.02,110588,0.49,0.13,y
61.73,7.25,5.37,0.28,1.41,1.22,7.72,2.45,0,1.13,699,236036,97.03,0.01,240885,0.5,0.09,y
83.66,6.18,4.03,0.81,0.81,0,4.3,0.81,0,2.69,900,397632,98.51,0.01,400980,0.5,0.06,y
74.25,11.24,6,0.38,1.53,0.77,9.83,1.92,0,0.64,721,248889,96.16,0.02,255465,0.49,0.12,n
63.19,4.32,1.44,0,0,1.44,6.47,0.72,0,0,239,24116.1,85.51,0.05,26937,0.48,0.27,n
67.63,9.27,5.28,0.32,1.16,1.35,7.72,2.32,0,0.77,29,334.42,88.47,0.14,348,0.46,0.26,y
47.38,8.89,4.12,0.22,1.74,0.43,7.81,1.3,0,2.17,160,12180.8,96.97,0.03,12382,0.49,0.06,n
38.57,8.15,4.44,0,0,3.7,8.89,2.22,0,0,289,38381.5,92.87,0.03,40329,0.49,0.15,y
73.95,7.27,3.64,1.21,1.21,1.21,7.27,0.61,0,0.61,222,21894.7,90.06,0.04,23462,0.48,0.21,n
30.01,2.68,0,0,0.89,0,8.93,3.57,0,1.79,332,51669.8,94.61,0.03,53479,0.49,0.18,n
50.52,7.84,4.25,0.16,1.63,0.33,5.72,1.14,0,1.8,254,29724.9,93.25,0.04,30978,0.49,0.18,y
