@relation '2. OpennessFinder_24 features'

@attribute affect numeric
@attribute posemo numeric
@attribute negemo numeric
@attribute anx numeric
@attribute anger numeric
@attribute sad numeric
@attribute social numeric
@attribute family numeric
@attribute friend numeric
@attribute female numeric
@attribute male numeric
@attribute cogproc numeric
@attribute insight numeric
@attribute cause numeric
@attribute discrep numeric
@attribute tentat numeric
@attribute certain numeric
@attribute differ numeric
@attribute work numeric
@attribute leisure numeric
@attribute home numeric
@attribute money numeric
@attribute relig numeric
@attribute death numeric
@attribute cOPN {y,n}

@data
6.84,3.9,2.88,0.42,1.05,0.58,7.26,0.26,0.22,0.48,1.25,10.52,1.76,1.41,1.31,2.62,1.76,2.43,2.21,2.05,0.64,0.54,0.29,0.22,n
8.57,4.29,4.29,0,0,2.86,5,0.71,0.71,0.71,0,8.57,5,0.71,0.71,1.43,1.43,0,2.14,2.14,0,0.71,0,0.71,y
11.24,6.59,4.65,0,1.94,0.39,8.53,0,0.39,0,0.78,9.3,0.78,1.55,2.71,1.94,1.94,1.94,2.71,0,0.39,0,0,0,y
5.05,3.56,1.49,0.1,0.5,0.4,6.93,0.2,0.1,0.3,0.79,9.31,1.58,1.29,1.98,2.18,1.19,2.18,2.18,2.18,0,1.19,0.4,0.5,y
8.79,6.65,2.14,0.11,0.9,0.23,7.1,0.23,0.45,0.11,1.13,10.82,1.92,1.24,1.92,2.93,1.24,2.82,3.38,2.14,0.45,1.13,0.11,0.23,y
7.24,4.32,2.86,0.12,0.91,0.37,7.24,0.79,0.37,1.1,0.67,11.93,2.5,1.7,1.1,2.98,1.34,3.41,2.01,1.64,0.3,0.67,0.61,0.3,y
6.99,4.12,2.75,0.57,0.69,0.69,8.93,0.11,0.46,0.23,0.34,11.11,2.86,0.92,2.18,2.52,1.15,3.44,1.37,2.29,0.57,0.23,0.69,0.46,y
7.22,4.47,2.66,0.18,0.95,0.41,7.62,0.27,0.54,0.77,1.08,10.1,1.49,1.53,1.13,2.75,1.67,2.71,1.94,2.07,0.45,0.36,0.27,0.36,y
3.4,1.94,0.97,0,0.49,0.49,10.68,0.97,0.97,1.46,2.43,9.71,2.43,0.49,0.97,3.88,0.97,1.94,2.91,1.46,1.46,0.49,0.97,0,n
5.48,3.71,1.61,0.32,0.81,0.16,5.81,0.16,0.32,0.32,0.16,8.87,2.26,1.13,1.29,3.06,0.81,1.61,4.35,0.97,0.97,0.97,0.97,0.16,y
8.24,5.88,2.35,0,0,2.35,2.35,0,0,0,0,8.24,1.18,1.18,0,0,2.35,3.53,0,2.35,0,0,0,0,y
7.19,6.24,0.96,0,0.72,0,3.84,0.96,0,0,0.48,4.8,0.96,0.96,1.2,0.96,0.72,0.24,2.64,3.36,1.44,1.2,0.24,0.24,y
6.08,4.56,1.52,0.14,0.62,0.35,9.19,0.35,0.62,2.49,0.55,7.73,1.66,0.9,1.04,2.56,0.97,1.52,1.52,2.35,0.76,0.21,0.41,0.35,y
6.74,3.79,2.68,0.33,0.72,0.65,7.59,0.2,0,0.07,0.78,12.69,3.4,2.16,1.37,2.03,1.96,2.94,1.77,0.72,0,0.2,0.52,0.33,y
7.97,3.92,3.98,0.27,1.13,0.8,5.84,0.27,0.2,0.13,0.73,7.64,2.06,0.66,1.59,2.26,0.46,1.53,4.25,3.12,0.53,1,0.13,0.46,y
10,5.71,4.29,0,2.86,0,2.86,0,0,0,0,5.71,0,2.86,0,1.43,0,1.43,2.86,7.14,0,0,0,0,y
7.54,5.84,1.7,0,0.73,0.49,5.6,0.24,0.24,0.24,0.24,10.95,1.7,2.19,1.95,3.16,0.49,3.89,3.16,1.22,0.49,0.97,0.73,0.73,y
5.73,3.94,1.79,0,0.72,1.08,15.41,0,0.36,0,0.36,12.19,3.23,0.36,0.36,4.66,1.43,2.15,1.08,1.43,0,0.36,0,0,y
8.39,6.34,1.88,0,0.68,0.51,7.53,0,0.17,0,3.08,10.45,1.54,1.37,2.57,3.08,1.71,2.23,2.23,1.71,1.54,0.34,0,0,y
9.51,7.81,1.7,0.31,0.31,0.35,13.22,0.61,0.65,0.39,1.75,10.78,2.53,1.88,0.92,1.57,2.53,2.18,0.92,0.39,0.09,0.22,3.8,0.17,n
5.68,3.18,2.5,0.17,0.65,0.59,7.98,0.48,0.53,0.56,1.24,10.26,2.16,1.49,1.63,2.81,0.93,2.81,1.71,2.16,1.01,0.34,0.45,0.2,y
10.11,7.76,2.35,0.42,0.14,0.55,5.82,0.42,0.42,0.14,0.55,9,1.25,1.8,0.97,2.22,1.66,2.63,1.25,2.22,0.55,0,0.55,0.14,y
7.45,4.73,2.72,0.37,0.75,0.41,6.63,0.22,0.04,0.04,0.75,8.23,1.19,1.01,1.08,2.61,1.79,2.12,1.42,1.79,0.75,0.3,0.48,0.37,y
8.79,4.02,4.77,0.34,1.26,0.75,8.29,0.17,0.59,0.34,1.01,9.13,1.42,1.01,1.93,2.01,1.93,2.01,2.68,2.35,0.92,0.59,0.25,0.25,n
4.46,3.18,1.27,0,0.64,0,7.01,0,0,0,0,15.92,5.73,3.82,1.27,1.91,3.18,1.91,3.18,3.18,0,0,0.64,0,y
5.74,5.29,0.45,0.11,0.11,0,3.15,0.56,0,0.56,0.23,4.17,0.56,0.68,0.68,0.79,0.79,1.01,2.93,5.63,1.13,0.34,0.34,0.11,y
8.63,6.39,2.24,0,0.64,0,11.5,0.32,1.28,1.28,0.64,8.31,3.19,0.96,0.64,0.96,0.32,2.24,1.28,1.6,0.64,0.32,1.28,0.64,n
5.49,3.45,2.04,0.16,0.86,0.24,5.41,0,0.24,0,1.57,7.76,1.8,1.18,1.02,1.57,1.1,1.96,2.43,1.65,1.65,0.86,0.71,0.94,n
6.95,4.85,2.03,0.39,0.52,0.52,8.19,0.33,0.26,0.46,1.11,9.96,2.36,1.25,1.25,2.1,1.51,2.75,5.05,1.51,0.46,2.03,0.39,0.33,y
6.88,5.07,1.81,0.36,1.45,0,10.14,0,0,0.36,1.09,9.06,1.09,0.36,2.17,1.81,1.81,3.26,0.72,3.26,0.72,0.72,1.09,0.36,y
5.73,2.68,2.95,0.27,1.15,0.76,7.65,0.22,0.71,0.33,0.93,12.56,4.86,1.2,1.53,1.53,1.64,2.79,3.82,3.93,0.27,0.71,0.16,0.55,y
5.88,5.88,0,0,0,0,5.88,0,0,0,0,5.88,0,0,0,5.88,0,0,0,11.76,0,0,0,0,n
5.26,2.18,3.09,0.54,1.27,0.73,7.08,0,0.54,0,2.18,12.16,2,1.63,1.81,3.99,1.27,3.81,2.72,0.73,0.91,0.18,0.18,0.18,y
8.03,5.12,2.91,0.28,1.11,0.83,6.51,0.14,0.42,1.25,0.42,11.22,0.97,0.69,2.08,2.49,2.08,4.16,4.85,2.77,0.55,0.69,0.14,0,y
7.67,4.49,3.1,0.15,0.62,1.39,6.66,0.7,0.23,1.39,0.31,7.05,1.55,0.93,1.01,2.01,0.7,1.63,1.78,1.01,0.08,0.08,0.7,0.23,n
6.14,5.7,0.44,0,0,0,8.77,0.88,0.44,0.88,1.75,10.96,1.75,0.88,3.07,0.88,2.19,2.63,2.63,1.75,1.32,0.44,0.44,0,y
8.4,4.69,3.52,0,2.34,0.59,2.93,0,0.39,0,0.78,11.33,1.56,1.37,0.39,2.15,3.12,3.12,0.98,2.15,0.59,0.39,0.2,0.2,y
7.04,3.32,3.62,0.4,1.91,0.6,9.86,0.1,0.1,0.1,1.21,10.26,2.11,1.81,1.31,2.11,1.81,2.52,2.41,0.3,0.1,0.8,1.01,0.4,y
11.98,10.38,1.4,0,0.6,0,6.79,0,0.8,0.2,0.2,9.38,1.8,0.2,0.4,1.4,2.59,3.79,1,2.2,0,0.6,0,0,y
10.89,8.56,2.33,0.36,0.16,1.09,9.96,0.31,0.47,3.63,0.1,10.17,1.92,1.4,2.23,1.76,1.5,2.07,1.45,1.35,0.67,0.41,0.16,0.1,y
10.98,10.2,0.78,0,0,0.39,2.35,0.78,0,0,0,5.88,0.78,1.57,0.39,0.39,0,2.75,3.92,1.57,1.18,0,1.18,0,n
11.11,9.44,1.67,0.56,0.83,0,7.22,0,0,0.28,0,12.78,2.22,0.56,3.61,2.78,4.17,2.78,3.89,2.22,1.11,0,0.28,0,n
4.26,0,2.13,0,2.13,0,4.26,0,0,0,0,10.64,0,2.13,2.13,2.13,2.13,4.26,0,2.13,0,2.13,0,0,n
9.59,7.23,2.17,0.2,0.72,0.46,6.31,0.46,0.26,1.31,0.2,7.62,1.64,0.85,0.66,1.18,1.71,1.91,3.35,4.6,0.66,0.39,0.26,0.07,y
5.52,3.61,1.82,0.19,0.57,0.45,6.96,0.26,0.26,1.31,0.35,8.55,1.82,0.96,1.66,2.78,1.08,1.79,5.46,2.46,2.43,0.64,0.19,0.26,y
7.56,5.29,2.28,0.59,0.22,0.66,5.14,0.44,0.15,0.73,0.29,8,0.66,0.73,2.2,1.62,1.4,2.06,3.45,3.3,1.17,0.29,0.29,0,y
6.77,5.18,1.39,0,0.2,0,9.56,0.2,0.6,0.8,0.6,9.16,2.19,1,0.4,2.59,1.39,2.79,1.79,2.39,0.8,1.59,0.2,0,y
5.95,3.33,2.63,0.18,1.23,0.88,8.93,1.4,0.7,1.23,1.75,5.43,1.23,0.35,0.88,1.58,0.53,1.4,3.5,1.58,1.23,0.7,0.53,0.7,n
4.91,3.12,1.78,0.22,0.67,0.56,7.13,0.11,0.11,0.11,0.56,9.81,1.11,1.23,2.12,2.9,1.67,2.9,1.67,1.23,0.45,0.78,0.11,0.11,y
5.56,4.05,1.5,0,0.6,0.6,12.01,1.05,1.05,2.1,1.35,9.61,2.55,1.2,1.65,3,1.65,1.35,1.2,1.2,0.9,0.6,0.15,0.15,n
10.9,6.39,4.14,0,3.01,0.75,6.39,1.13,0.38,0,1.88,12.78,3.76,0.75,1.88,3.38,0.38,4.51,0.38,4.14,0.38,0.38,0,0,n
7.56,6.48,1.08,0,0.43,0.43,6.91,0.65,0.65,0,0.86,11.02,2.16,1.3,1.73,1.94,1.3,3.89,4.54,1.73,0.22,0.43,1.08,0.43,y
6.8,5.33,1.47,0,0.18,0.74,7.9,0.64,0.46,2.48,1.01,6.62,1.19,0.64,1.29,1.65,1.1,1.65,1.01,2.21,1.01,0.28,1.29,0,y
8.7,6.1,2.5,0.18,0.88,0.35,5.23,0.22,0.53,0.57,0.44,10.94,2.24,1.58,1.1,2.64,1.41,2.85,1.58,3.73,0.88,0.66,0.13,0.13,n
9.02,6.75,2.27,0.21,0.48,0.34,5.79,0.07,0.34,2.13,0.07,9.16,2.2,0.62,1.79,1.79,1.03,2.69,3.99,2.48,1.1,0.34,0.07,0.07,y
11.19,6.72,3.73,0.75,0.75,0,2.24,0,0,0,0,11.19,0.75,0.75,2.99,2.24,3.73,2.99,0.75,3.73,0,0.75,0,0,y
4.35,3.38,0.97,0.48,0,0.48,9.18,0.97,0,0,2.9,11.59,2.9,1.93,1.45,1.93,3.38,1.45,0.48,0.97,0,0,0,0,n
7.78,4.8,2.99,0.32,0.32,0.64,5.76,0.11,0.32,2.56,0,10.02,2.35,0.85,2.45,2.03,1.71,1.81,2.77,3.2,0.53,0.64,0.21,0.32,y
11.54,4.62,6.92,1.54,0.77,1.54,0.77,0,0,0,0,10,2.31,2.31,0,3.08,1.54,1.54,6.15,1.54,0,0.77,0,0.77,y
5.69,3.5,2.19,0,1.17,0.58,5.83,0.15,0.73,0.15,1.02,12.54,2.92,2.04,1.46,2.62,1.46,3.5,2.77,1.75,1.02,0.58,0,0,y
7.61,5.32,2.25,0.14,1.13,0.59,9.95,0.18,0.72,0.45,2.39,12.25,3.02,1.58,2.3,2.88,1.8,2.52,2.88,1.62,0.23,0.36,0.59,0.14,y
8.68,4.28,4.4,0.24,0.86,1.83,13.57,0.24,0.24,0.73,2.08,12.96,2.57,1.59,2.2,3.42,2.08,3.67,1.1,0.73,0.12,0.49,0.61,0.37,y
2.4,2.1,0.3,0,0,0.3,4.19,0.6,0,1.5,0.9,5.39,0.3,1.2,0.6,0.9,0.9,1.5,2.1,1.5,0.9,0.3,0,0,n
8.54,5.7,2.85,0,0.55,0.44,6.46,1.2,0.11,1.31,0,8.43,1.2,0.66,2.19,2.08,1.42,2.52,3.72,0.99,0.99,0.11,0.55,0.11,n
10.76,5.1,5.38,0.57,1.13,0.28,4.82,0,0.57,0.28,0,11.9,1.7,0.85,3.12,4.25,1.98,2.83,3.4,1.42,0.57,0,0.28,0,y
11.25,9.44,1.81,0,0.91,0.18,8.89,1.09,0.91,0.54,0.54,6.72,0.54,1.45,1.27,2.54,1.63,0.91,2.72,1.45,0.54,2.36,0,0,n
6.28,4.59,1.45,0.24,0.48,0.72,6.04,0.48,0.24,2.42,0.48,7.97,1.69,1.21,0.97,1.69,1.45,2.17,1.69,2.17,0.48,0.24,0.97,0,y
6.95,5.08,1.88,0.56,0.56,0.19,9.02,0.19,0.75,1.69,0,9.59,2.44,1.13,1.88,3.38,1.13,1.5,3.2,3.01,1.32,0.94,0.19,0,y
8,6.67,1.33,0,0,0,4.89,0.44,0.89,0.44,0,8,0.44,0.89,2.22,1.78,2.67,0.89,2.22,4,2.67,0.44,1.33,0,n
6.52,3.41,3.11,0.3,1.93,0.15,9.04,0.44,0.3,2.67,0.59,10.52,1.19,1.63,2.07,2.07,2.22,2.52,2.07,1.78,0,1.33,0.15,0.15,y
10.45,6.87,3.48,0.66,0.56,1.13,6.5,0.28,0.28,0.85,1.04,9.32,1.41,0.75,1.79,3.01,1.41,1.88,1.98,3.11,0.19,0.19,0.28,0.19,n
8.87,8.6,0.27,0,0,0.27,5.65,0.54,0,0.27,0.27,2.42,0.54,0.54,0.81,0.54,0,0.27,1.61,4.57,1.34,0,1.34,0,y
7.79,6.64,1.15,0.13,0.13,0.38,9.83,0.51,0,0.77,0.64,11.88,1.92,0.89,1.53,2.04,2.81,3.83,1.53,1.02,0.77,0.64,3.07,0.13,y
7.19,4.32,2.88,0,1.44,0,9.35,0,1.44,0,0.72,6.47,2.88,0,1.44,1.44,0,0.72,2.88,2.88,0,0,0,0,y
7.08,4.12,2.96,0.26,0.9,0.39,9.59,1.93,0.45,2.38,1.42,9.91,2.12,1.03,1.87,1.99,1.61,2.19,1.54,1.42,0.58,0.51,0.26,0.13,y
5.42,4.01,1.3,0,0.22,0.43,11.06,0.76,0.54,0.22,1.3,10.2,1.84,0.87,1.52,2.93,1.41,3.04,2.28,1.63,0.22,0.54,0.43,0,y
6.67,5.19,1.48,0,0,0.74,9.63,0.74,0,0.74,0,6.67,0.74,0,2.22,0.74,0.74,2.22,1.48,2.96,0.74,0,0,0,n
3.03,1.21,1.82,0.61,1.21,0,8.48,0.61,0,0,0,6.67,3.03,0.61,0,1.21,1.82,0.61,0.61,0,0,0.61,0.61,0.61,y
9.82,6.25,3.57,0,1.79,0.89,8.04,0,0,0.89,1.79,14.29,0,0,1.79,1.79,4.46,6.25,0.89,2.68,0,0,0,0.89,y
4.74,3.27,1.47,0,0.65,0.16,8.17,0,0.16,0.49,0.16,10.78,3.27,1.31,0.65,3.1,0.82,2.12,2.78,2.29,0.16,0,0.49,0,y
