@relation '3. AgreeablenessFinder_LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-12,14,17-20,22-35,37-39,41-46,48-49,51-75,78-79,81-89,91,93-95,97-99'

@attribute Clout numeric
@attribute WPS numeric
@attribute we numeric
@attribute shehe numeric
@attribute they numeric
@attribute adverb numeric
@attribute social numeric
@attribute male numeric
@attribute differ numeric
@attribute hear numeric
@attribute informal numeric
@attribute swear numeric
@attribute nonflu numeric
@attribute Quote numeric
@attribute Parenth numeric
@attribute NBETWEENNESS numeric
@attribute TRANSITIVITY numeric
@attribute cAGR {n,y}

@data
62.55,9.57,0,2.45,0,5.54,5.76,0,1.81,0.75,1.39,0.11,0.11,0.21,4.8,94.58,0.2,y
19.88,10,0,0,0,5.38,0.77,0,1.54,0.77,6.92,0,0.77,0.77,0,97.42,0.09,n
37.96,7.54,0,0.73,0,5.69,5.83,1.02,3.5,0.58,1.9,0.44,0.58,0.87,0.29,96.39,0.1,n
63.57,8.51,0.36,2.16,0.59,4.95,9.95,2.39,2.52,0.41,2.52,0.81,0.23,0.99,0.32,97.4,0.13,y
62.93,13.63,0.61,1.47,0.73,5.01,13.57,2.08,3.67,0.61,0.49,0.12,0,0.98,0.24,95.07,0.16,y
48.8,7.95,0,1.8,0,5.99,4.19,0.9,1.5,0,0.3,0,0,0.6,5.69,98.52,0.05,y
37.13,11,0.11,0.22,0.33,4.38,6.46,0,2.52,0.66,3.5,0,1.64,0,0,82.07,0.25,n
37.76,7.67,0.57,0.28,0,5.1,4.82,0,2.83,0,4.82,0,1.13,0.57,0,88.95,0.46,n
78.25,10.6,1.45,0.18,0.54,5.44,8.89,0.54,0.91,0.36,5.08,0.18,0.18,2,0.36,97.12,0.07,y
38.58,9.63,0.48,1.69,0.24,3.14,6.04,0.48,2.17,0.24,1.21,0,1.21,3.86,0.48,98.53,0.03,y
76.82,8.31,0.94,1.32,0.19,3.01,9.02,0,1.5,0.38,1.32,0.19,0.56,3.01,0,99.32,0.01,y
48.22,11.25,0,0.44,0,3.56,4.89,0,0.89,0,3.11,0,0.44,0,0,96.21,0.1,y
58.78,8.54,1.19,2.67,0,5.48,9.04,0.59,2.52,0.3,3.26,1.19,0,0.3,0,97.11,0.13,n
42.89,7.08,0.56,0.56,0.28,4.9,6.5,1.04,1.88,0.94,7.53,0.94,1.32,0.85,0.56,97.03,0.09,n
57.47,10.05,0.54,0,0.81,4.84,5.65,0.27,0.27,0,4.57,0,0,0.54,1.08,98.51,0.06,y
55.07,11.51,0.77,1.28,0.38,5.62,9.83,0.64,3.83,0.51,0.77,0.13,0,1.79,0.89,96.16,0.12,y
82.52,13.9,0,0,0,3.6,9.35,0.72,0.72,0,0.72,0,0,0,0,85.51,0.27,y
56.65,8.45,0.13,2.19,0.32,5.21,9.59,1.42,2.19,0.64,2.06,0.39,0.39,0.39,0.13,88.47,0.26,y
72.45,11.67,1.84,0.65,0.22,5.1,11.06,1.3,3.04,0.43,0.87,0.22,0,1.3,0.76,96.97,0.06,n
67.16,9.64,0,0,0,4.44,9.63,0,2.22,0.74,4.44,0,1.48,0,0.74,92.87,0.15,n
72.77,16.5,2.42,0,1.21,1.21,8.48,0,0.61,0,2.42,0,0.61,7.88,0,90.06,0.21,y
39.43,22.4,0.89,1.79,0,3.57,8.04,1.79,6.25,2.68,1.79,1.79,0,1.79,0,94.61,0.18,y
64.05,11.33,1.63,0.16,0.16,4.74,8.17,0.16,2.12,0.65,1.96,0.65,0.33,1.31,2.29,93.25,0.18,y
