ppron,ipron,article,prep,auxverb,adverb,conj,negate,verb,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,cOPN
15.16,5.62,5.38,11.98,9.41,5.01,6.97,2.32,18.95,256,30788.5,95.07,0.03,31646,0.49,0.16,y
3.59,2.1,4.19,16.17,7.78,5.99,3.89,1.2,13.77,1350,895790,98.52,0.01,904309,0.5,0.05,n
8.87,4.38,5.15,13.14,7.56,4.38,3.18,2.41,15.99,196,15523.1,82.07,0.06,17982,0.48,0.25,n
5.38,5.95,3.12,10.76,7.08,5.1,3.68,1.7,15.58,258,29260.8,88.95,0.07,30879,0.47,0.46,y
5.44,3.81,4.54,12.34,7.26,5.44,5.08,1.09,12.7,606,177453,97.12,0.01,180788,0.49,0.07,n
8.7,4.83,5.8,12.8,8.21,3.14,4.83,1.45,16.43,134,8649.25,98.53,0.02,8697,0.5,0.03,y
6.39,2.82,9.21,14.1,8.27,3.01,3.2,1.13,15.6,77,2830.5,99.32,0.03,2837,0.5,0.01,y
4,4.44,2.67,15.56,6.67,3.56,3.11,1.78,13.78,959,441049,96.21,0.01,453251,0.49,0.1,n
8.59,5.63,6.52,13.19,10.52,5.48,4.89,1.33,20.59,475,108866,97.11,0.02,110588,0.49,0.13,y
7.25,4.52,4.9,10.73,8.1,4.9,4.14,1.13,16.67,699,236036,97.03,0.01,240885,0.5,0.09,n
6.18,1.61,5.65,12.9,4.84,4.84,3.49,0.81,10.22,900,397632,98.51,0.01,400980,0.5,0.06,y
11.24,5.75,5.87,12.26,10.98,5.62,7.28,2.17,18.52,721,248889,96.16,0.02,255465,0.49,0.12,y
4.32,4.32,6.47,17.27,4.32,3.6,5.04,0.72,12.95,239,24116.1,85.51,0.05,26937,0.48,0.27,y
9.27,4.38,5.73,13.51,9.27,5.21,4.7,1.54,19.05,29,334.42,88.47,0.14,348,0.46,0.26,y
8.89,5.86,8.13,10.63,8.46,5.1,4.77,1.63,16.05,160,12180.8,96.97,0.03,12382,0.49,0.06,y
8.15,1.48,5.93,9.63,8.89,4.44,5.93,2.22,17.04,289,38381.5,92.87,0.03,40329,0.49,0.15,n
7.27,4.85,7.88,12.73,3.64,1.21,5.45,0.61,13.33,222,21894.7,90.06,0.04,23462,0.48,0.21,y
2.68,5.36,7.14,12.5,11.61,3.57,3.57,3.57,16.07,332,51669.8,94.61,0.03,53479,0.49,0.18,y
7.84,5.56,4.9,12.91,6.7,4.74,4.9,0.82,14.54,254,29724.9,93.25,0.04,30978,0.49,0.18,y
